timestamp,phase,curriculum_phase,round,episode,opponent,epsilon,outcome,p1_moves,p2_moves,total_reward,step_reward,hit_reward,miss_reward,sink_reward,win_reward,loss_reward
2025-12-02T00:47:54.694439+00:00,train,bootcamp,1,305,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.694578+00:00,train,bootcamp,1,306,self,1.0,0,95,,-52.24999999999992,-52.24999999999992,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.694716+00:00,train,bootcamp,1,307,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.694855+00:00,train,bootcamp,1,308,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.694993+00:00,train,bootcamp,1,309,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.695131+00:00,train,bootcamp,1,310,self,1.0,0,92,,-50.59999999999993,-50.59999999999993,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.695270+00:00,train,bootcamp,1,311,self,1.0,0,99,,-54.44999999999991,-54.44999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.695409+00:00,train,bootcamp,1,312,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.695548+00:00,train,bootcamp,1,313,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.695697+00:00,train,bootcamp,1,314,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.695841+00:00,train,bootcamp,1,315,self,1.0,0,83,,-45.649999999999956,-45.649999999999956,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.695981+00:00,train,bootcamp,1,316,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.696119+00:00,train,bootcamp,1,317,self,1.0,0,84,,-46.19999999999995,-46.19999999999995,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.696258+00:00,train,bootcamp,1,318,self,1.0,0,95,,-52.24999999999992,-52.24999999999992,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.696467+00:00,train,bootcamp,1,319,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
